Year,Action,Adventure,Comedy,Drama,Ecchi,Fantasy,Horror,Mahou Shoujo,Mecha,Music,Mystery,Psychological,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Thriller
2005,23,17,31,39,9,19,5,4,5,0,8,8,34,17,16,6,20,1
2006,33,18,52,39,10,21,9,2,6,3,12,10,36,17,16,3,24,5
2007,37,15,42,34,14,30,8,5,8,2,13,8,30,16,16,8,14,3
2008,44,18,54,31,21,21,5,2,5,4,12,9,42,25,16,5,27,5
2009,40,24,60,31,20,34,3,3,7,4,9,8,37,18,20,8,20,5
2010,42,14,63,21,28,18,4,1,3,7,11,4,31,18,22,5,30,3
2011,58,14,72,29,29,25,6,4,6,6,14,10,43,24,30,7,36,5
2012,57,17,86,38,25,29,10,3,7,6,16,9,61,29,37,10,35,4
2013,61,13,79,27,29,43,2,7,9,7,14,7,48,22,41,12,32,2
2014,72,29,99,36,31,57,6,5,18,7,19,16,54,33,48,12,38,5
2015,85,25,84,37,34,57,4,8,9,9,13,11,47,38,31,9,39,3
2016,84,24,83,52,28,50,10,9,13,11,20,13,35,31,44,15,39,9
2017,64,30,73,52,21,63,7,7,7,8,24,13,41,30,54,9,35,4
2018,93,33,94,59,20,48,12,6,9,9,21,19,44,33,58,19,43,7
2019,71,42,74,60,23,49,6,6,8,11,22,14,31,35,53,15,26,5
2020,64,34,71,48,16,51,5,2,2,12,17,12,28,23,46,10,22,9
2021,78,46,72,69,14,70,7,5,11,13,26,21,41,40,54,13,41,12
2022,72,45,79,46,12,68,5,3,4,11,16,16,38,24,50,15,35,4
2023,91,54,98,65,13,95,4,3,6,11,18,12,67,21,61,9,37,6
2024,86,55,76,57,10,88,2,3,5,5,13,8,61,24,43,9,30,5
